text,label
Urgent request from branch manager to waive verification.,1
Standard interest calculation completed successfully.,0
Verified original KYC documents and address proof.,0
Checked account balance before processing account update.,0
"Manager approved override, skip standard checks for retail client.",1
"Customer urgent hai, sir approved bypass.",1
Customer query resolved via standard service desk.,0
Verified original KYC documents and address proof.,0
Processed regular utility bill payment for retail client.,0
"As advised by regional head, skip checking.",1
Standard procedure waived due to corporate client emergency.,1
"No deviations found, normal processing completed.",0
Routine statement print generated and filed with compliance.,0
Transaction processed within standard limits for walk-in customer.,0
Processed regular utility bill payment for regular depositor.,0
Verified original KYC documents and address proof.,0
Completed KYC validation for new account opening.,0
"Procedure baad mein, client urgent hai.",1
"Customer insisted on urgency, controls suspended.",1
Transaction processed within standard limits for trusted customer.,0
Updated customer profile with new driving license.,0
Verified original KYC documents and address proof.,0
"Confidential trade, override applied by VP instruction.",1
Checked account balance before processing interest calculation.,0
Urgent request from branch manager to waive verification.,1
Standard statement print completed successfully.,0
"Quick transfer required, ignore checklist.",1
Customer query resolved via standard service desk.,0
Checked account balance before processing statement print.,0
"Customer urgent hai, sir approved bypass.",1
Updated customer profile with new PAN card.,0
Customer query resolved via standard service desk.,0
Updated customer profile with new driving license.,0
"Confidential trade, override applied by VP instruction.",1
Fixed typo in customer name as per request.,0
Checked account balance before processing interest calculation.,0
Transaction processed within standard limits for retail client.,0
Urgent request from branch manager to waive verification.,1
"Confidential trade, override applied by VP instruction.",1
Updated customer profile with new passport.,0
Completed KYC validation for new account opening.,0
Verified customer ID card and signature for utility bill.,0
"Confidential trade, override applied by VP instruction.",1
"Customer urgent hai, sir approved bypass.",1
Updated customer profile with new passport.,0
Transaction processed within standard limits for walk-in customer.,0
"Emergency cash withdrawal requested, bypass validation.",1
Transaction processed within standard limits for retail client.,0
"Manager approved override, skip standard checks for regular depositor.",1
"Standard cash deposit of 5,00,000 INR completed.",0
"No deviations found, normal processing completed.",0
Immediate bypass of limits instructed by regional office.,1
"Customer urgent hai, sir approved bypass.",1
Immediate bypass of limits instructed by regional office.,1
"No deviations found, normal processing completed.",0
Standard procedure waived due to retail client emergency.,1
Routine account update generated and filed with compliance.,0
Standard interest calculation completed successfully.,0
"As advised by regional head, skip checking.",1
Verified customer ID card and signature for utility bill.,0
Verified customer ID card and signature for PAN card.,0
Urgent request from branch manager to waive verification.,1
Verbal approval from supervisor to bypass limit.,1
Checked credit score for loan application.,0
Updated customer profile with new utility bill.,0
"Confidential trade, override applied by VP instruction.",1
"Handled necessary exception, done as verbal order.",1
Routine account update generated and filed with compliance.,0
"Handled necessary exception, done as verbal order.",1
"Procedure baad mein, client urgent hai.",1
"Sir approved this bypass, do not delay.",1
Customer provided valid PAN and Aadhaar card.,0
Processed regular utility bill payment for walk-in customer.,0
"As advised by regional head, skip checking.",1
"Special promoter profile, skip documentation.",1
Urgent request from branch manager to waive verification.,1
Updated customer profile with new PAN card.,0
"Handled necessary exception, done as verbal order.",1
"Confidential trade, override applied by VP instruction.",1
"Quick transfer required, ignore checklist.",1
Bypassed standard procedure for urgent corporate client.,1
Standard procedure waived due to trusted customer emergency.,1
"Confidential trade, override applied by VP instruction.",1
Verbal approval from supervisor to bypass limit.,1
Transaction processed within standard limits for trusted customer.,0
Verified original KYC documents and address proof.,0
"As advised by regional head, skip checking.",1
"Sir approved this bypass, do not delay.",1
"Emergency cash withdrawal requested, bypass validation.",1
Customer query resolved via standard service desk.,0
Customer provided valid PAN and Aadhaar card.,0
"Standard cash deposit of 50,000 INR completed.",0
Verified original KYC documents and address proof.,0
"As advised by regional head, skip checking.",1
Customer query resolved via standard service desk.,0
"Standard cash deposit of 10,000 INR completed.",0
Routine interest calculation generated and filed with compliance.,0
Told by supervisor to ignore warning and complete transaction.,1
Told by supervisor to ignore warning and complete transaction.,1
Bypassed standard procedure for urgent regular depositor.,1
"Standard cash deposit of 1,00,000 INR completed.",0
"As advised by regional head, skip checking.",1
Transaction processed within standard limits for corporate client.,0
Told by supervisor to ignore warning and complete transaction.,1
"Emergency cash withdrawal requested, bypass validation.",1
Verified original KYC documents and address proof.,0
Transaction processed within standard limits for walk-in customer.,0
Updated customer profile with new driving license.,0
Processed regular utility bill payment for retail client.,0
Transaction processed within standard limits for regular depositor.,0
"Confidential trade, override applied by VP instruction.",1
"Confidential trade, override applied by VP instruction.",1
"Standard cash deposit of 1,00,000 INR completed.",0
Checked credit score for loan application.,0
Customer query resolved via standard service desk.,0
Customer query resolved via standard service desk.,0
Verified customer ID card and signature for PAN card.,0
Processed regular utility bill payment for corporate client.,0
"No deviations found, normal processing completed.",0
Processed regular utility bill payment for corporate client.,0
Checked account balance before processing account update.,0
"No deviations found, normal processing completed.",0
"VIP customer transaction, skip KYC check.",1
Standard statement print completed successfully.,0
Processed regular utility bill payment for trusted customer.,0
Checked credit score for loan application.,0
