employee_id,date,rolling_7_day_audit_avg,rolling_14_day_audit_avg,rolling_30_day_audit_avg,rolling_30_day_comp_avg,rolling_30_day_override_avg,rolling_7_day_audit_std,rolling_30_day_audit_std,audit_trend_slope,comp_trend_slope,override_trend_slope
EMP001,2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP001,2026-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP001,2026-01-03,16.5,16.5,16.5,13.0,3.5,16.5,16.5,0.0,0.0,0.0
EMP001,2026-01-04,13.0,13.0,13.0,12.33,4.33,14.35,14.35,3.0,5.5,3.0
EMP001,2026-01-05,9.75,9.75,9.75,9.25,3.25,13.65,13.65,-2.7,-1.5,-0.1
EMP001,2026-01-06,12.4,12.4,12.4,13.4,4.8,13.31,13.31,1.3,3.4,1.5
EMP001,2026-01-07,14.33,14.33,14.33,14.83,6.17,12.89,12.89,2.4,3.1714,2.0286
EMP001,2026-01-08,15.0,15.0,15.0,14.29,5.71,12.05,12.05,2.0,1.5714,0.9286
EMP001,2026-01-09,18.14,15.88,15.88,15.5,5.75,10.49,11.5,1.9167,1.8571,0.6429
EMP001,2026-01-10,16.0,16.11,16.11,15.44,5.78,8.6,10.87,1.4833,1.2667,0.4667
EMP001,2026-01-11,16.71,15.6,15.6,14.6,5.9,7.92,10.42,0.8,0.4606,0.4061
EMP001,2026-01-12,16.71,14.18,14.18,13.27,5.36,7.92,10.9,-0.1091,-0.3182,0.0364
EMP001,2026-01-13,16.57,14.83,14.83,13.58,5.58,7.82,10.66,0.2168,-0.1014,0.1294
EMP001,2026-01-14,17.43,16.0,16.0,14.62,6.85,8.85,11.01,0.6703,0.3626,0.6429
EMP001,2026-01-15,17.43,16.21,16.21,14.71,6.93,8.85,10.64,0.622,0.3297,0.5473
EMP001,2026-01-16,19.0,18.57,17.33,14.93,7.47,10.36,11.1,0.925,0.35,0.6464
EMP001,2026-01-17,22.0,19.0,18.69,15.31,7.81,12.47,11.96,1.2397,0.4221,0.6544
EMP001,2026-01-18,21.57,19.14,18.06,14.76,7.59,12.88,11.87,0.8235,0.1691,0.4706
EMP001,2026-01-19,21.57,19.14,17.06,13.94,7.17,12.88,12.25,0.3767,-0.1166,0.2632
EMP001,2026-01-20,22.71,19.64,17.74,14.37,7.68,13.22,12.27,0.5246,0.0281,0.3789
EMP001,2026-01-21,23.0,20.21,18.45,14.8,8.1,13.4,12.36,0.6534,0.1474,0.4436
EMP001,2026-01-22,24.71,21.07,19.05,15.57,8.33,13.54,12.35,0.7273,0.3377,0.4468
EMP001,2026-01-23,24.71,21.86,19.68,15.77,8.27,13.54,12.41,0.7979,0.3461,0.3727
EMP001,2026-01-24,25.0,23.5,20.61,15.91,8.48,13.86,12.9,0.9298,0.3379,0.3775
EMP001,2026-01-25,23.86,22.71,19.75,15.25,8.12,15.45,13.28,0.6122,0.1383,0.2474
EMP001,2026-01-26,23.86,22.71,18.96,14.64,7.8,15.45,13.57,0.3592,-0.0185,0.1438
EMP001,2026-01-27,19.57,21.14,18.23,14.08,7.5,17.21,13.8,0.1573,-0.1415,0.0612
EMP001,2026-01-28,20.57,21.79,19.0,14.63,7.81,18.09,14.1,0.3053,-0.0079,0.1221
EMP001,2026-01-29,18.29,21.5,18.86,14.36,7.64,17.63,13.87,0.2441,-0.0635,0.0739
EMP001,2026-01-30,22.71,23.71,20.41,14.72,8.03,23.64,15.92,0.531,0.0163,0.1448
EMP001,2026-01-31,23.86,24.43,21.37,14.9,8.23,24.67,16.47,0.6641,0.0487,0.1693
EMP001,2026-02-01,25.29,24.57,21.7,15.1,8.43,23.51,16.14,0.4434,-0.1115,0.0981
EMP001,2026-02-02,25.29,24.57,20.6,14.23,8.2,23.51,16.45,0.3813,-0.1337,0.0338
EMP001,2026-02-03,32.14,25.86,22.0,14.83,8.7,22.09,16.93,0.4574,-0.0607,0.1012
EMP001,2026-02-04,31.57,26.07,23.17,15.77,9.43,21.95,16.57,0.3895,-0.0781,0.127
EMP001,2026-02-05,33.14,25.71,23.27,15.5,9.53,21.09,16.58,0.4067,0.0603,0.1673
EMP001,2026-02-06,28.0,25.36,23.4,15.3,9.53,16.91,16.6,0.4423,0.1083,0.2136
EMP001,2026-02-07,21.0,22.43,22.77,14.93,9.43,16.91,17.11,0.261,-0.02,0.107
EMP001,2026-02-08,21.0,23.14,22.37,14.4,9.4,16.91,17.27,0.1733,-0.0022,0.0547
EMP001,2026-02-09,21.0,23.14,21.77,13.9,9.2,16.91,17.71,-0.0011,-0.091,-0.0294
EMP001,2026-02-10,17.57,24.86,22.2,14.3,9.2,13.09,17.6,-0.061,-0.1057,-0.0587
EMP001,2026-02-11,15.57,23.57,22.9,15.0,9.5,11.21,17.12,-0.2218,-0.1611,-0.1235
EMP001,2026-02-12,13.71,23.43,22.6,15.63,9.5,10.37,17.21,-0.2919,-0.0118,-0.1435
EMP001,2026-02-13,12.29,20.14,22.2,15.1,9.03,8.89,17.17,-0.2705,0.0367,-0.067
EMP001,2026-02-14,14.71,17.86,22.13,15.07,8.97,7.4,17.19,-0.3261,0.0423,-0.0937
EMP001,2026-02-15,13.86,17.43,21.17,14.6,8.6,8.2,17.36,-0.3682,-0.0089,-0.0841
EMP001,2026-02-16,13.86,17.43,19.87,13.9,8.17,8.2,17.44,-0.3818,-0.059,-0.1092
EMP001,2026-02-17,13.0,15.29,20.2,14.13,8.33,7.37,17.31,-0.4756,-0.1192,-0.1326
EMP001,2026-02-18,11.57,13.57,20.57,14.47,8.5,6.61,16.99,-0.6743,-0.2434,-0.2116
EMP001,2026-02-19,11.43,12.57,19.97,14.03,8.03,6.59,16.96,-0.6645,-0.2267,-0.1884
EMP001,2026-02-20,10.57,11.43,19.3,13.6,7.63,6.04,16.87,-0.6329,-0.1909,-0.1595
EMP001,2026-02-21,8.14,11.43,18.27,12.57,7.2,6.38,17.07,-0.6768,-0.1586,-0.1717
EMP001,2026-02-22,7.86,10.86,17.23,11.97,7.0,6.6,17.08,-0.6801,-0.1755,-0.2131
EMP001,2026-02-23,7.86,10.86,15.87,11.33,6.57,6.6,16.76,-0.6274,-0.2042,-0.2169
EMP001,2026-02-24,6.43,9.71,16.13,11.53,6.73,5.18,16.57,-0.7875,-0.3168,-0.2723
