note_id,employee_id,timestamp,module,action,justification,language,source,override_type,manager,delay_minutes
NOTE0001,EMP001,2026-01-01 13:15,Loan Approval,Verification,Branch regular audit record update kiya.,Hinglish,Mobile,Emergency,Manager001,1
NOTE0002,EMP001,2026-01-05 12:32,Override Logs,Approval,Branch regular audit record update kiya.,Hinglish,Mobile,Standard Waiver,Manager005,0
NOTE0003,EMP001,2026-01-10 15:21,Compliance Dashboard,Override,Checked credit score for routine loan application.,English,Portal,VIP Override,Manager002,5
NOTE0004,EMP001,2026-01-16 13:51,Override Logs,Override,"Sir ne ne bola override applied, ignore checklist.",Hinglish,Internal Dashboard,Manual Approval,Manager006,38
NOTE0005,EMP001,2026-01-19 10:02,Audit Reports,Override,Customer Signature check karke complete kiya.,Hinglish,Mobile,Manual Approval,Manager008,10
NOTE0006,EMP001,2026-01-25 11:23,Customer Search,Approval,Customer Signature check karke complete kiya.,Hinglish,Internal Dashboard,Compliance Exception,Manager003,7
NOTE0007,EMP001,2026-01-30 13:59,Loan Approval,Approval,KYC document check kar ke system main update kar diya.,Hinglish,Portal,Manual Approval,Manager007,4
NOTE0008,EMP001,2026-02-03 12:58,Audit Reports,Waiver,सभी आवश्यक दस्तावेज नियमानुसार चेक कर लिए गए हैं।,Hindi,Mobile,VIP Override,Manager003,4
NOTE0009,EMP001,2026-02-07 12:47,Customer Search,Waiver,"Quick transfer required, ignore checklist.",English,Mobile,Compliance Exception,Manager003,34
NOTE0010,EMP001,2026-02-13 10:48,Cash Operations,Waiver,"Sir approved this bypass, do not delay transaction.",English,Internal Dashboard,Emergency,Manager007,26
NOTE0011,EMP001,2026-02-18 17:16,Cash Operations,Override,ग्राहक के पहचान पत्र और हस्ताक्षर का सत्यापन किया गया।,Hindi,Internal Dashboard,Standard Waiver,Manager005,10
NOTE0012,EMP001,2026-02-23 10:18,Customer Search,Approval,"Manager sahab approved, bina check approved.",Hinglish,Internal Dashboard,Emergency,Manager005,42
NOTE0013,EMP001,2026-02-26 11:23,Loan Approval,Verification,Branch regular audit record update kiya.,Hinglish,Mobile,VIP Override,Manager001,1
NOTE0014,EMP001,2026-03-04 13:15,Loan Approval,Waiver,प्रबंधक के मौखिक आदेश पर प्रक्रिया को छोड़ दिया गया।,Hindi,Portal,Standard Waiver,Manager003,10
NOTE0015,EMP001,2026-03-09 17:10,Audit Reports,Verification,आपातकालीन मामले के कारण सत्यापन को स्थगित किया गया।,Hindi,Internal Dashboard,Compliance Exception,Manager005,27
NOTE0016,EMP001,2026-03-14 16:57,Loan Approval,Exception,"VIP customer transaction, skip KYC check.",English,Portal,Standard Waiver,Manager009,16
NOTE0017,EMP001,2026-03-17 09:04,Loan Approval,Exception,Bypassed standard procedure for urgent client requirement.,English,Portal,Standard Waiver,Manager004,19
NOTE0018,EMP001,2026-03-23 12:34,Audit Reports,Waiver,आपातकालीन मामले के कारण सत्यापन को स्थगित किया गया।,Hindi,Mobile,Compliance Exception,Manager002,8
